Atoll,Island,Treatment,Seabirds_ha,Booby,Frigatebird,Noddy,Shearwater,Tern,Tropicbird,kg_N_ha_yr
Great_Chagos_Bank,Eagle_Island,Rats,0.55,0,0,0.04,0,0.03,0,0.22
Great_Chagos_Bank,Middle_Brother,No_rats,3701.81,4.18,0.71,2.6,0,596.21,0,424.83
Great_Chagos_Bank,Nelson_Island,No_rats,182.57,0.94,2.97,14.61,0.11,0.1,0,119.33
Great_Chagos_Bank,South_Brother,No_rats,972.89,0.56,0,95.26,7.76,39.87,0,172.44
Peron_Banhos,Grande_Ile_Coquillage,No_rats,1160.9,3.24,5.39,14.96,0,160.4,0,213.46
Peron_Banhos,Grande_Ile_Mapou,Rats,1.92,0.04,0,0.13,0,0.05,0,1.16
Peron_Banhos,Ile_Longue,No_rats,1426.88,1.87,0,6.42,0,218.04,0,206.42
Peron_Banhos,Ile_Poule,Rats,0.22,0,0,0.02,0,0.01,0,0.04
Peron_Banhos,PB_Ile_Anglaise,Rats,2.5,0,0,0.21,0,0.16,0,0.53
Salomon,Ile_de_la_Passe,No_rats,15.29,0.13,0,1.61,0,0.13,0.03,6.06
Salomon,Ile_Fouquet,Rats,3.85,0.04,0,0.15,0,0.19,0,2.44
Salomon,Sal_Ile_Anglaise,Rats,0.78,0,0,0.06,0,0.06,0,0.16
