Tissue,Atoll,Island,TNI_reef_area,Reef_area,To_shore_m,Treatment,cal_d13C,cal_perc_C,cal_d15N,cal_perc_N,CN_ratio
Fish,Great_Chagos_Bank,Eagle,0.22,25.8,280,Rats,-15.65,44.68,10.55,13.78,3.24
Fish,Great_Chagos_Bank,Eagle,0.22,25.8,280,Rats,-16.45,41.73,10.4,12.92,3.23
Fish,Great_Chagos_Bank,Eagle,0.22,25.8,280,Rats,-15.39,44.64,10.76,14.04,3.18
Fish,Great_Chagos_Bank,Eagle,0.22,25.8,280,Rats,-15.73,45.28,10.94,14.15,3.2
Fish,Great_Chagos_Bank,Eagle,0.22,25.8,280,Rats,-16.72,45.12,10.9,14.01,3.22
Fish,Great_Chagos_Bank,Eagle,0.22,25.8,280,Rats,-16.17,44.84,10.79,14.17,3.16
Fish,Great_Chagos_Bank,Eagle,0.22,25.8,280,Rats,-15.82,44.27,11.09,13.8,3.21
Fish,Great_Chagos_Bank,Eagle,0.22,25.8,280,Rats,-16.61,41.19,10.8,13.16,3.13
Fish,Great_Chagos_Bank,Eagle,0.22,25.8,280,Rats,-16.57,42.55,10.51,13.29,3.2
Fish,Great_Chagos_Bank,Eagle,0.22,25.8,280,Rats,-16.53,43.43,10.31,13.68,3.17
Fish,Great_Chagos_Bank,Middle_Brother,424.83,16.9,240,No_rats,-14.56,45.87,11.34,14.14,3.24
Fish,Great_Chagos_Bank,Middle_Brother,424.83,16.9,240,No_rats,-14.71,43.21,11.28,13.59,3.18
Fish,Great_Chagos_Bank,Middle_Brother,424.83,16.9,240,No_rats,-14.58,43.5,11.02,13.6,3.2
Fish,Great_Chagos_Bank,Middle_Brother,424.83,16.9,240,No_rats,-14.96,45.71,11.07,14.04,3.26
Fish,Great_Chagos_Bank,Middle_Brother,424.83,16.9,240,No_rats,-14.68,45.44,11.11,14.02,3.24
Fish,Great_Chagos_Bank,Middle_Brother,424.83,16.9,240,No_rats,-14.38,44.51,11.21,13.82,3.22
Fish,Great_Chagos_Bank,Middle_Brother,424.83,16.9,240,No_rats,-14.83,44.17,11,13.76,3.21
Fish,Great_Chagos_Bank,Middle_Brother,424.83,16.9,240,No_rats,-14.49,41.49,11.05,13.35,3.11
Fish,Great_Chagos_Bank,Middle_Brother,424.83,16.9,240,No_rats,-14.85,43.63,11.05,13.65,3.2
Fish,Great_Chagos_Bank,Middle_Brother,424.83,16.9,240,No_rats,-15.1,42.82,11.08,13.38,3.2
Fish,Great_Chagos_Bank,South_Brother,172.44,16.8,150,No_rats,-14.47,43.32,11.22,13.54,3.2
Fish,Great_Chagos_Bank,South_Brother,172.44,16.8,150,No_rats,-13.71,45.78,10.94,14.22,3.22
Fish,Great_Chagos_Bank,South_Brother,172.44,16.8,150,No_rats,-14.27,42.71,10.91,13.07,3.27
Fish,Great_Chagos_Bank,South_Brother,172.44,16.8,150,No_rats,-13.95,45.7,11.11,14.3,3.2
Fish,Great_Chagos_Bank,South_Brother,172.44,16.8,150,No_rats,-13.8,44.93,11.18,14.03,3.2
Fish,Great_Chagos_Bank,South_Brother,172.44,16.8,150,No_rats,-13.4,44.79,10.91,14.31,3.13
Fish,Great_Chagos_Bank,South_Brother,172.44,16.8,150,No_rats,-13.92,45.17,11.32,14.26,3.17
Fish,Great_Chagos_Bank,South_Brother,172.44,16.8,150,No_rats,-14.13,42.25,11.07,13.21,3.2
Fish,Great_Chagos_Bank,South_Brother,172.44,16.8,150,No_rats,-13.82,43.18,11.19,13.36,3.23
Fish,Great_Chagos_Bank,South_Brother,172.44,16.8,150,No_rats,-14.02,42.44,10.77,13.21,3.21
Fish,Peros_Banhos,Grande_Ile_Coquillage,213.46,36.7,175,No_rats,-15.21,42.96,11.23,13.43,3.2
Fish,Peros_Banhos,Grande_Ile_Coquillage,213.46,36.7,175,No_rats,-15.83,44.31,11.81,14.02,3.16
Fish,Peros_Banhos,Grande_Ile_Coquillage,213.46,36.7,175,No_rats,-15.22,46.12,11.52,14.45,3.19
Fish,Peros_Banhos,Grande_Ile_Coquillage,213.46,36.7,175,No_rats,-14.93,45.39,11.17,14.13,3.21
Fish,Peros_Banhos,Grande_Ile_Coquillage,213.46,36.7,175,No_rats,-14.97,44.45,11.48,14.06,3.16
Fish,Peros_Banhos,Grande_Ile_Coquillage,213.46,36.7,175,No_rats,-15.23,44.21,11.25,13.75,3.21
Fish,Peros_Banhos,Grande_Ile_Coquillage,213.46,36.7,175,No_rats,-15.94,44.38,11.46,14.23,3.12
Fish,Peros_Banhos,Grande_Ile_Coquillage,213.46,36.7,175,No_rats,-15.14,45.09,11.34,14.45,3.12
Fish,Peros_Banhos,Grande_Ile_Coquillage,213.46,36.7,175,No_rats,-15.01,42.31,11.56,13.33,3.17
Fish,Peros_Banhos,Grande_Ile_Coquillage,213.46,36.7,175,No_rats,-14.83,43.68,11.12,13.76,3.17
Fish,Peros_Banhos,Grande_Ile_Mapou,1.16,11.5,300,Rats,-14.34,43.46,10.43,13.71,3.17
Fish,Peros_Banhos,Grande_Ile_Mapou,1.16,11.5,300,Rats,-14.52,45.01,11.02,14.52,3.1
Fish,Peros_Banhos,Grande_Ile_Mapou,1.16,11.5,300,Rats,-14.82,46.06,10.7,14.6,3.15
Fish,Peros_Banhos,Grande_Ile_Mapou,1.16,11.5,300,Rats,-14.38,44.41,10.3,14.27,3.11
Fish,Peros_Banhos,Grande_Ile_Mapou,1.16,11.5,300,Rats,-14.76,46.07,10.78,14.39,3.2
Fish,Peros_Banhos,Grande_Ile_Mapou,1.16,11.5,300,Rats,-14.22,45.96,10.73,14.26,3.22
Fish,Peros_Banhos,Grande_Ile_Mapou,1.16,11.5,300,Rats,-14.97,45.75,10.19,14.23,3.21
Fish,Peros_Banhos,Grande_Ile_Mapou,1.16,11.5,300,Rats,-14.36,44.86,11.06,14.41,3.11
Fish,Peros_Banhos,Grande_Ile_Mapou,1.16,11.5,300,Rats,-14.9,44.05,10.38,13.99,3.15
Fish,Peros_Banhos,Grande_Ile_Mapou,1.16,11.5,300,Rats,-14.36,43.77,10.66,13.63,3.21
Fish,Peros_Banhos,Ile_Longue,206.42,6.1,215,No_rats,-15.19,46.27,10.16,14.5,3.19
Fish,Peros_Banhos,Ile_Longue,206.42,6.1,215,No_rats,-15.2,44.67,10.27,14.14,3.16
Fish,Peros_Banhos,Ile_Longue,206.42,6.1,215,No_rats,-15.03,45.52,9.97,14.25,3.19
Fish,Peros_Banhos,Ile_Longue,206.42,6.1,215,No_rats,-15.85,46.23,10.24,14.38,3.22
Fish,Peros_Banhos,Ile_Longue,206.42,6.1,215,No_rats,-16.23,46.98,10.57,14.57,3.22
Fish,Peros_Banhos,Ile_Longue,206.42,6.1,215,No_rats,-15.31,46.08,9.82,14.49,3.18
Fish,Peros_Banhos,Ile_Longue,206.42,6.1,215,No_rats,-14.71,44.68,10.33,14.28,3.13
Fish,Peros_Banhos,Ile_Longue,206.42,6.1,215,No_rats,-15.03,45.78,10.23,14.25,3.21
Fish,Peros_Banhos,Ile_Longue,206.42,6.1,215,No_rats,-15.6,44.03,9.78,14.1,3.12
Fish,Peros_Banhos,Ile_Longue,206.42,6.1,215,No_rats,-15.49,44.68,10.03,14.51,3.08
Fish,Peros_Banhos,Ile_Poule,0.04,19.1,280,Rats,-14.21,45.61,10.54,14.45,3.16
Fish,Peros_Banhos,Ile_Poule,0.04,19.1,280,Rats,-14.14,41.61,10.12,12.83,3.24
Fish,Peros_Banhos,Ile_Poule,0.04,19.1,280,Rats,-14.4,44.8,10.35,14.31,3.13
Fish,Peros_Banhos,Ile_Poule,0.04,19.1,280,Rats,-14.34,45.34,10.32,14.38,3.15
Fish,Peros_Banhos,Ile_Poule,0.04,19.1,280,Rats,-14.15,44.36,10.33,14.04,3.16
Fish,Peros_Banhos,Ile_Poule,0.04,19.1,280,Rats,-14.58,42.07,10.47,13.16,3.2
Fish,Peros_Banhos,Ile_Poule,0.04,19.1,280,Rats,-14.61,43.02,10.69,13.59,3.17
Fish,Peros_Banhos,Ile_Poule,0.04,19.1,280,Rats,-14.14,42.5,10.31,13.77,3.09
Fish,Peros_Banhos,Ile_Poule,0.04,19.1,280,Rats,-13.93,42.33,10.48,13.83,3.06
Fish,Peros_Banhos,Ile_Poule,0.04,19.1,280,Rats,-14,40.79,10.26,13.26,3.08
Fish,Peros_Banhos,PB_Ile_Anglaise,0.53,6.6,240,Rats,-13.55,44.37,10.71,14.09,3.15
Fish,Peros_Banhos,PB_Ile_Anglaise,0.53,6.6,240,Rats,-13.81,42.03,10.56,13.55,3.1
Fish,Peros_Banhos,PB_Ile_Anglaise,0.53,6.6,240,Rats,-13.75,46.07,10.45,14.35,3.21
Fish,Peros_Banhos,PB_Ile_Anglaise,0.53,6.6,240,Rats,-14.25,45.61,10.91,14.2,3.21
Fish,Peros_Banhos,PB_Ile_Anglaise,0.53,6.6,240,Rats,-12.97,46,9.96,14.46,3.18
Fish,Peros_Banhos,PB_Ile_Anglaise,0.53,6.6,240,Rats,-14.44,45.71,11.06,14.3,3.2
