Atoll,Island,Treatment,Transect,Area,Family,Species,Function,Structure,Coral_cover,Length,Biomass,Abundance
Great_Chagos_Bank,Eagle,Rats,1,150,Acanthuridae,Ctenochaetus_striatus,Herbivore,2,12.67,13,4,66.7
Great_Chagos_Bank,Eagle,Rats,1,150,Acanthuridae,Naso_brachycentron,Herbivore,2,12.67,33,49.6,66.7
Great_Chagos_Bank,Eagle,Rats,1,150,Scaridae,Chlorurus_sordidus,Herbivore,2,12.67,13,3.3,66.7
Great_Chagos_Bank,Eagle,Rats,1,150,Acanthuridae,Acanthurus_nigrofuscus,Herbivore,2,12.67,13,4.1,66.7
Great_Chagos_Bank,Eagle,Rats,1,150,Acanthuridae,Acanthurus_nigrofuscus,Herbivore,2,12.67,12,3.2,66.7
Great_Chagos_Bank,Eagle,Rats,1,150,Acanthuridae,Acanthurus_nigrofuscus,Herbivore,2,12.67,12,3.2,66.7
Great_Chagos_Bank,Eagle,Rats,1,150,Balistidae,Balistapus_undulatus,Invertivore,2,12.67,15,5.9,66.7
Great_Chagos_Bank,Eagle,Rats,1,150,Balistidae,Melichthys_indicus,Invertivore,2,12.67,25,35.9,66.7
Great_Chagos_Bank,Eagle,Rats,1,150,Labridae,Gomphosus_caeruleus,Invertivore,2,12.67,14,2,66.7
Great_Chagos_Bank,Eagle,Rats,1,150,Labridae,Gomphosus_caeruleus,Invertivore,2,12.67,13,1.7,66.7
Great_Chagos_Bank,Eagle,Rats,1,150,Labridae,Gomphosus_caeruleus,Invertivore,2,12.67,14,2,66.7
Great_Chagos_Bank,Eagle,Rats,1,150,Labridae,Stethojulis_albovittata,Invertivore,2,12.67,12,1.8,66.7
Great_Chagos_Bank,Eagle,Rats,1,150,Labridae,Thalassoma_hebraicum,Invertivore,2,12.67,13,1.8,66.7
Great_Chagos_Bank,Eagle,Rats,1,150,Labridae,Thalassoma_hebraicum,Invertivore,2,12.67,12,1.5,66.7
Great_Chagos_Bank,Eagle,Rats,1,150,Mullidae,Parupeneus_trifasciatus,Invertivore,2,12.67,13,1.6,66.7
Great_Chagos_Bank,Eagle,Rats,1,150,Mullidae,Parupeneus_macronemus,Invertivore,2,12.67,15,3.3,66.7
Great_Chagos_Bank,Eagle,Rats,1,60,Pomacentridae,Chrysiptera_brownriggii,Mixed-diet,2,12.67,6,0.8,166.7
Great_Chagos_Bank,Eagle,Rats,1,60,Pomacentridae,Chrysiptera_brownriggii,Mixed-diet,2,12.67,7,1.2,166.7
