Atoll,Site,Treatment,Fish Species,OtolithID,Otolith_weight,TL,FL,SL,Age,Radius,Annulus1
Great Chagos Bank,South Brother,No rats,Plectroglyphidodon lacrymatus,H9,0.0081,10,8.6,7,3,35461.227,16752.711
Great Chagos Bank,Eagle,Rats,Plectroglyphidodon lacrymatus,T1,0.0057,8.3,7.3,5.9,2,28383.250,13475.520
Great Chagos Bank,Eagle,Rats,Plectroglyphidodon lacrymatus,T2,0.0049,7.6,6.5,5.1,2,22370.652,13786.116
Great Chagos Bank,Eagle,Rats,Plectroglyphidodon lacrymatus,T3,0.0072,8.4,7.4,6.1,3,34709.871,20003.127
Great Chagos Bank,Eagle,Rats,Plectroglyphidodon lacrymatus,T4,n/a,8.6,7.6,6.2,2,27467.670,18144.131
Great Chagos Bank,Eagle,Rats,Plectroglyphidodon lacrymatus,T5,n/a,9.2,8,6.6,5,40107.832,18230.516
Great Chagos Bank,Eagle,Rats,Plectroglyphidodon lacrymatus,T6,0.0093,9.2,8.1,6.5,4,41466.582,20847.633
Great Chagos Bank,Eagle,Rats,Plectroglyphidodon lacrymatus,T7,n/a,8.4,7.3,5.9,3,37896.059,16047.837
Great Chagos Bank,Eagle,Rats,Plectroglyphidodon lacrymatus,T8,n/a,8.3,7.3,6.1,2,26281.205,14549.537
Great Chagos Bank,Eagle,Rats,Plectroglyphidodon lacrymatus,T9,n/a,8.3,7.4,6.1,2,32586.582,24007.426
Great Chagos Bank,Eagle,Rats,Plectroglyphidodon lacrymatus,T10,0.0060,8.4,7.5,6.2,2,35127.129,23663.971
Peros Banhos,PB Ile Anglaise,Rats,Plectroglyphidodon lacrymatus,A1,0.0087,9.2,8.3,7,3,57353.723,25910.457
Peros Banhos,Ile Poule,Rats,Plectroglyphidodon lacrymatus,A10,0.0032,7.1,6.4,5,2,19676.363,11730.21
Peros Banhos,Ile Poule,Rats,Plectroglyphidodon lacrymatus,A11,0.0033,7.1,6.2,5,2,20026.268,8868.805
Peros Banhos,Ile Poule,Rats,Plectroglyphidodon lacrymatus,A12,0.0052,7.1,6.5,5.4,2,27356.057,14155.45
Peros Banhos,PB Ile Anglaise,Rats,Plectroglyphidodon lacrymatus,A2,0.0071,9.4,8.6,7.4,3,27025.791,12554.247
Peros Banhos,PB Ile Anglaise,Rats,Plectroglyphidodon lacrymatus,A3,0.0050,7.5,6.9,5.4,2,24417.932,14404.459
Peros Banhos,PB Ile Anglaise,Rats,Plectroglyphidodon lacrymatus,A4,0.0140,9.5,8.6,7.1,6,49533.242,13664.422
Peros Banhos,PB Ile Anglaise,Rats,Plectroglyphidodon lacrymatus,A5,0.0113,9.8,8.8,7.2,5,38746.68,10707.14
Peros Banhos,PB Ile Anglaise,Rats,Plectroglyphidodon lacrymatus,A6,0.0140,9.6,8.6,7.2,6,42995.438,13191.473
Peros Banhos,PB Ile Anglaise,Rats,Plectroglyphidodon lacrymatus,A7,0.0092,9.2,8,6.6,3,54495.559,27259.152
Peros Banhos,PB Ile Anglaise,Rats,Plectroglyphidodon lacrymatus,A8,0.0055,7.8,7.3,5.8,2,21069.375,9700.641
Peros Banhos,Ile Poule,Rats,Plectroglyphidodon lacrymatus,A9,0.0041,7.5,6.6,5.5,2,21035.594,14130.893
Peros Banhos,Ile Poule,Rats,Plectroglyphidodon lacrymatus,B1,0.0042,7.3,6.4,5.3,2,21718.721,13692.226
Peros Banhos,Grande Ile Mapou,Rats,Plectroglyphidodon lacrymatus,B10,0.0089,8.2,7.5,6.2,5,37114.242,14074.608
Peros Banhos,Grande Ile Mapou,Rats,Plectroglyphidodon lacrymatus,B11,0.0036,7.2,6.2,5,2,27580.029,14527.926
Peros Banhos,Grande Ile Mapou,Rats,Plectroglyphidodon lacrymatus,B12,0.0080,8.7,7.7,6.4,4,34247.473,13176.418
Peros Banhos,Ile Poule,Rats,Plectroglyphidodon lacrymatus,B2,0.0053,8.2,7,5.6,3,26182.223,15183.629
Peros Banhos,Ile Poule,Rats,Plectroglyphidodon lacrymatus,B3,0.0041,7.6,6.5,5.4,3,51839.109,34182.219
Peros Banhos,Ile Poule,Rats,Plectroglyphidodon lacrymatus,B4,0.0038,7.4,6.4,5.2,2,29194.967,17143.039
Peros Banhos,Ile Poule,Rats,Plectroglyphidodon lacrymatus,B5,0.0035,6.8,6,4.7,2,22960.221,15907.064
Peros Banhos,Ile Poule,Rats,Plectroglyphidodon lacrymatus,B6,0.0030,6.4,5.8,4.6,2,19032.943,16349.020
Peros Banhos,Grande Ile Mapou,Rats,Plectroglyphidodon lacrymatus,B7,0.0087,9.1,8.2,6.8,5,36052.778,16622.889
Peros Banhos,Grande Ile Mapou,Rats,Plectroglyphidodon lacrymatus,B8,0.0032,6.8,6,4.8,2,21522.131,12459.040
Peros Banhos,Grande Ile Mapou,Rats,Plectroglyphidodon lacrymatus,B9,0.0034,7,6.2,5.1,2,29508.242,15036.965
Peros Banhos,Grande Ile Mapou,Rats,Plectroglyphidodon lacrymatus,C1,0.0039,6.2,5.4,4.5,2,24262.334,11967.490
Peros Banhos,Ile Longue,No rats,Plectroglyphidodon lacrymatus,C10,0.0120,9.9,8.8,7.3,6,64908.973,21229.672
Peros Banhos,Ile Longue,No rats,Plectroglyphidodon lacrymatus,C11,0.0081,9.2,8.3,6.9,3,46117.738,21642.439
Peros Banhos,Ile Longue,No rats,Plectroglyphidodon lacrymatus,C12,0.0039,6.7,6.1,5.1,2,20631.541,10199.279
Peros Banhos,Grande Ile Mapou,Rats,Plectroglyphidodon lacrymatus,C2,0.0090,8.4,7.3,6,4,36275.504,14966.404
Peros Banhos,Grande Ile Mapou,Rats,Plectroglyphidodon lacrymatus,C3,0.0042,7,6.3,5.1,2,24065.219,12348.373
Peros Banhos,Grande Ile Mapou,Rats,Plectroglyphidodon lacrymatus,C4,0.0059,7.7,6.8,5.6,4,24922.057,9793.955
Peros Banhos,Ile Longue,No rats,Plectroglyphidodon lacrymatus,C5,0.0094,9.5,8.2,6.8,4,48719.906,21066.230
Peros Banhos,Ile Longue,No rats,Plectroglyphidodon lacrymatus,C6,0.0096,9.4,8.4,7,5,34334.770,12206.936
Peros Banhos,Ile Longue,No rats,Plectroglyphidodon lacrymatus,C7,0.0081,9,8.2,6.9,3,30332.928,15501.617
Peros Banhos,Ile Longue,No rats,Plectroglyphidodon lacrymatus,C8,0.0108,9.9,8.9,7.2,5,40680.605,14834.326
Peros Banhos,Ile Longue,No rats,Plectroglyphidodon lacrymatus,C9,0.0080,9.2,8.1,6.8,3,32718.773,18217.813
Peros Banhos,Ile Longue,No rats,Plectroglyphidodon lacrymatus,D1,0.0151,10.1,9.1,7.2,10,49168.637,13019.855
Peros Banhos,Grande Ile Coquillage,No rats,Plectroglyphidodon lacrymatus,D10,0.0102,8.9,8.1,6.5,6,37273.875,15130.159
Peros Banhos,Grande Ile Coquillage,No rats,Plectroglyphidodon lacrymatus,D11,0.0102,9.6,8.8,7.2,5,38055.453,15137.817
Salomon,Ile de la Passe,No rats,Plectroglyphidodon lacrymatus,D12,0.0120,9.3,8,6.6,6,45161.098,13552.608
Peros Banhos,Ile Longue,No rats,Plectroglyphidodon lacrymatus,D2,0.0056,7.8,7,5.8,3,31622.760,17143.045
Peros Banhos,Grande Ile Coquillage,No rats,Plectroglyphidodon lacrymatus,D3,0.0086,9.2,8.4,6.8,4,40194.746,13385.616
Peros Banhos,Grande Ile Coquillage,No rats,Plectroglyphidodon lacrymatus,D4,0.0091,9.1,7.9,6.4,4,38715.934,16604.969
Peros Banhos,Grande Ile Coquillage,No rats,Plectroglyphidodon lacrymatus,D5,0.0089,8.8,7.9,6.7,4,38583.715,14834.326
